SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
2286,Tumkur Road (P7) Toll,S,P7X2,AAWPY,VWHGP,115,00-01-1900 16:35,138533,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
2316,Tumkur Road (P7) Toll,S,P7X3,ZHWYY,TARHG,50,00-01-1900 07:46,153276,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
2373,Tumkur Road (P7) Toll,S,P7X2,YHDZK,AVEFB,1650,00-01-1900 14:17,10753,VC13,T,"13.042389,77.475278",State,Bengaluru,Karnataka
2409,Tumkur Road (P7) Toll,S,P7X1,USELA,QWKJQ,850,00-01-1900 06:04,179,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
2971,Tumkur Road (P7) Toll,S,P7X3,XIRLP,VQVHD,230,00-01-1900 08:29,7080,VC11,T,"13.042389,77.475278",State,Bengaluru,Karnataka
2981,Tumkur Road (P7) Toll,S,P7X1,QRRAZ,GWHNG,225,00-01-1900 20:40,118,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
3042,Tumkur Road (P7) Toll,S,P7X7,XLUOQ,LBFRO,285,00-01-1900 17:04,346,VC4,T,"13.042389,77.475278",State,Bengaluru,Karnataka
3049,Tumkur Road (P7) Toll,S,P7X1,SQJWQ,OCPBL,115,00-01-1900 18:36,97,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
3259,Tumkur Road (P7) Toll,S,P7X7,NZLWM,DOJZU,690,00-01-1900 17:09,174,VC13,T,"13.042389,77.475278",State,Bengaluru,Karnataka
3263,Tumkur Road (P7) Toll,S,P7X2,PPWMG,PAGVY,317,00-01-1900 17:34,133,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
3334,Tumkur Road (P7) Toll,S,P7X7,GQEVU,GDGPD,225,00-01-1900 08:03,139084,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
3345,Tumkur Road (P7) Toll,S,P7X1,WUWKF,YZEEV,180,00-01-1900 16:43,113820,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
3433,Tumkur Road (P7) Toll,S,P7X3,SOHEW,AHCER,285,00-01-1900 21:20,123,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
3455,Tumkur Road (P7) Toll,S,P7X1,BDPGM,NJHLV,240,00-01-1900 16:34,1576,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
3505,Tumkur Road (P7) Toll,S,P7X1,XPVQV,PPBHQ,50,00-01-1900 11:06,373,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
3614,Tumkur Road (P7) Toll,S,P7X1,KSMPG,TKYKU,550,00-01-1900 14:34,9496,VC11,T,"13.042389,77.475278",State,Bengaluru,Karnataka
5031,Tumkur Road (P7) Toll,S,P7X7,QXXNE,UGVCH,690,00-01-1900 15:55,3765,VC13,T,"13.042389,77.475278",State,Bengaluru,Karnataka
5072,Tumkur Road (P7) Toll,S,P7X4,FEGRY,KUODW,285,00-01-1900 14:43,9129,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5096,Tumkur Road (P7) Toll,S,P7X2,TDJQC,JSZBT,50,00-01-1900 20:04,178,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5104,Tumkur Road (P7) Toll,S,P7X2,AJLAI,NJGBI,460,00-01-1900 19:42,100,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
5106,Tumkur Road (P7) Toll,S,P7X2,DSSHG,ZSPMG,920,00-01-1900 07:51,147575,VC14,T,"13.042389,77.475278",State,Bengaluru,Karnataka
5111,Tumkur Road (P7) Toll,S,P7X1,GKQIS,ABKRM,225,00-01-1900 08:03,122,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5118,Tumkur Road (P7) Toll,S,P7X1,BMWJU,IASJF,115,00-01-1900 16:58,533,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5152,Tumkur Road (P7) Toll,S,P7X1,XHWPV,DFGRY,50,00-01-1900 06:32,164095,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5174,Tumkur Road (P7) Toll,S,P7X3,ZCKCS,SCUDH,115,00-01-1900 08:33,1596,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5240,Tumkur Road (P7) Toll,S,P7X4,GISQT,YLWHP,115,00-01-1900 14:28,9736,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5242,Tumkur Road (P7) Toll,S,P7X2,KBTPX,HHWLJ,115,00-01-1900 06:24,167715,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5245,Tumkur Road (P7) Toll,S,P7X2,MLDHB,LCBOB,115,00-01-1900 16:51,846,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5267,Tumkur Road (P7) Toll,S,P7X2,JISFY,WTVGD,50,00-01-1900 10:36,178,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5407,Tumkur Road (P7) Toll,S,P7X3,LQOJF,VPGTQ,115,00-01-1900 18:16,95,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5461,Tumkur Road (P7) Toll,S,P7X1,YTULE,QFMMB,1100,00-01-1900 07:27,155493,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
5488,Tumkur Road (P7) Toll,S,P7X3,LQEGK,UXFNJ,520,00-01-1900 03:47,164,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
5739,Tumkur Road (P7) Toll,S,P7X3,QSLTW,KEGMX,230,00-01-1900 19:46,168,VC11,T,"13.042389,77.475278",State,Bengaluru,Karnataka
5794,Tumkur Road (P7) Toll,S,P7X2,VGBNQ,UCBRP,285,00-01-1900 14:49,8245,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5827,Tumkur Road (P7) Toll,S,P7X2,JZGQS,ODNEK,50,00-01-1900 17:46,79036,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5843,Tumkur Road (P7) Toll,S,P7X2,MYIZS,FSGIT,285,00-01-1900 08:48,140,VC20,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5865,Tumkur Road (P7) Toll,S,P7X1,OZTNF,IUIIV,125,00-01-1900 18:01,145,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
5928,Tumkur Road (P7) Toll,S,P7X4,XYGXX,CTOOQ,285,00-01-1900 20:34,165,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
5929,Tumkur Road (P7) Toll,S,P7X1,ALKWD,ILVXH,180,00-01-1900 16:11,2742,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
5938,Tumkur Road (P7) Toll,S,P7X2,QETPM,DBXYA,285,00-01-1900 19:18,138,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6017,Tumkur Road (P7) Toll,S,P7X3,GPNVQ,ROCPI,115,00-01-1900 20:42,110,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
6051,Tumkur Road (P7) Toll,S,P7X1,GDUMP,POZDZ,225,00-01-1900 06:00,170265,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
6081,Tumkur Road (P7) Toll,S,P7X4,BMXMW,VLLCR,285,00-01-1900 16:20,2190,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6303,Tumkur Road (P7) Toll,S,P7X3,GJDOV,ENKSC,405,00-01-1900 17:56,116,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6410,Tumkur Road (P7) Toll,S,P7X2,YWWKM,NJGCT,520,00-01-1900 00:26,79,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6447,Tumkur Road (P7) Toll,S,P7X4,WZHGR,TNIBY,225,00-01-1900 19:18,85,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
6469,Tumkur Road (P7) Toll,S,P7X4,EAGRD,NGBHT,115,00-01-1900 21:19,203,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
6582,Tumkur Road (P7) Toll,S,P7X2,WQQIH,BXHTV,230,00-01-1900 14:39,9001,VC11,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6644,Tumkur Road (P7) Toll,S,P7X7,VHCCE,RRXUB,115,00-01-1900 14:48,8437,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6668,Tumkur Road (P7) Toll,S,P7X1,QHWUM,XIIUA,1100,00-01-1900 13:45,89607,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6691,Tumkur Road (P7) Toll,S,P7X3,GWFIK,KHISM,225,00-01-1900 10:12,244,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
6721,Tumkur Road (P7) Toll,S,P7X1,SREXX,UXVAR,1100,00-01-1900 06:33,153020,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6770,Tumkur Road (P7) Toll,S,P7X3,JUYXW,GGULE,2200,00-01-1900 22:01,185,VC14,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6785,Tumkur Road (P7) Toll,S,P7X2,MYRCS,OPDFT,217,00-01-1900 08:44,211,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6820,Tumkur Road (P7) Toll,S,P7X2,GOKWH,LCURE,285,00-01-1900 01:57,199,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
6894,Tumkur Road (P7) Toll,S,P7X4,KTBHA,POUKD,615,00-01-1900 10:47,164,VC7,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6903,Tumkur Road (P7) Toll,S,P7X2,PHWDD,DEXSV,50,00-01-1900 10:54,215,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
6910,Tumkur Road (P7) Toll,S,P7X2,OOSIM,GUUTT,217,00-01-1900 02:05,123,VC10,F,"13.042389,77.475278",State,Bengaluru,Karnataka
6978,Tumkur Road (P7) Toll,S,P7X4,YCGVS,YPZEP,115,00-01-1900 18:45,140,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
7017,Tumkur Road (P7) Toll,S,P7X2,XCPGF,AENTA,200,00-01-1900 07:13,213817,VC14,T,"13.042389,77.475278",State,Bengaluru,Karnataka
7069,Tumkur Road (P7) Toll,S,P7X2,HMCLG,KKTMF,460,00-01-1900 14:24,10477,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
7130,Tumkur Road (P7) Toll,S,P7X1,XFAOD,PSWRL,115,00-01-1900 07:25,100070,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
7175,Tumkur Road (P7) Toll,S,P7X1,UJTVU,KSNAL,50,00-01-1900 16:41,117947,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
7207,Tumkur Road (P7) Toll,S,P7X3,UTTEI,QCPGV,1650,00-01-1900 06:29,115,VC13,T,"13.042389,77.475278",State,Bengaluru,Karnataka
7280,Tumkur Road (P7) Toll,S,P7X2,TRIXX,GZLCP,285,00-01-1900 21:59,126,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
7352,Tumkur Road (P7) Toll,S,P7X2,DHCSV,BWWGU,1100,00-01-1900 10:08,157,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
7528,Tumkur Road (P7) Toll,S,P7X3,FRNZC,MJBMU,225,00-01-1900 15:46,4187,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
7693,Tumkur Road (P7) Toll,S,P7X2,SJMEN,EITKZ,240,00-01-1900 14:28,9680,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
7755,Tumkur Road (P7) Toll,S,P7X4,SACOW,ELYOZ,145,00-01-1900 07:48,197,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
7763,Tumkur Road (P7) Toll,S,P7X3,XKXKI,DCFLB,285,00-01-1900 21:50,176,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
7777,Tumkur Road (P7) Toll,S,P7X2,HISMN,WINRM,50,00-01-1900 17:37,149,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
7904,Tumkur Road (P7) Toll,S,P7X3,DUTSE,ZUGIG,180,00-01-1900 19:22,130,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
7963,Tumkur Road (P7) Toll,S,P7X3,MIZOF,YTLJW,125,00-01-1900 15:23,6037,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
8094,Tumkur Road (P7) Toll,S,P7X2,KUQRK,ROBEU,50,00-01-1900 16:55,102268,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
8097,Tumkur Road (P7) Toll,S,P7X3,WMMAG,UYTLD,195,00-01-1900 22:26,130,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
8204,Tumkur Road (P7) Toll,S,P7X2,OKDFS,HSTIW,115,00-01-1900 10:25,63986,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
8257,Tumkur Road (P7) Toll,S,P7X2,SMWKU,YRLIL,115,00-01-1900 17:32,104263,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
8308,Tumkur Road (P7) Toll,S,P7X1,VRFKY,BYZVL,285,00-01-1900 06:36,114245,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
8361,Tumkur Road (P7) Toll,S,P7X4,VEDEU,LVYII,115,00-01-1900 07:36,168812,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
8391,Tumkur Road (P7) Toll,S,P7X1,HBXSJ,NECPC,305,00-01-1900 21:09,159,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
8435,Tumkur Road (P7) Toll,S,P7X3,PJPNB,KEBGA,1100,00-01-1900 05:12,172,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
8441,Tumkur Road (P7) Toll,S,P7X7,OKCHP,WEFSI,520,00-01-1900 14:59,7498,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
8535,Tumkur Road (P7) Toll,S,P7X2,NHGGV,SMNNQ,50,00-01-1900 10:04,99,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
8545,Tumkur Road (P7) Toll,S,P7X4,ZCQCR,WBWYB,145,00-01-1900 07:47,167924,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
8691,Tumkur Road (P7) Toll,S,P7X3,KHWHO,MAZJY,225,00-01-1900 20:23,240,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
8741,Tumkur Road (P7) Toll,S,P7X1,HSJBY,IJTLC,285,00-01-1900 07:50,171,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
8926,Tumkur Road (P7) Toll,S,P7X3,GNCGX,ANDTZ,50,00-01-1900 09:22,140,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
8958,Tumkur Road (P7) Toll,S,P7X4,HFWRR,IFXLH,50,00-01-1900 11:03,304,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
9083,Tumkur Road (P7) Toll,S,P7X4,CMBHM,FXLDZ,50,00-01-1900 14:52,7898,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
9111,Tumkur Road (P7) Toll,S,P7X4,ASOIN,UCLMP,305,00-01-1900 22:10,158,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
9204,Tumkur Road (P7) Toll,S,P7X3,KPWCM,JVNBQ,125,00-01-1900 20:34,119,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
9210,Tumkur Road (P7) Toll,S,P7X1,TTMAA,AESKM,115,00-01-1900 23:19,1584,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
9223,Tumkur Road (P7) Toll,S,P7X7,MDFZA,PEHXK,50,00-01-1900 15:58,3588,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
9264,Tumkur Road (P7) Toll,S,P7X1,GOJUX,QKEAP,520,00-01-1900 07:23,216,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
9288,Tumkur Road (P7) Toll,S,P7X2,GRRRP,IAYEU,225,00-01-1900 22:34,137,VC20,F,"13.042389,77.475278",State,Bengaluru,Karnataka
10374,Tumkur Road (P7) Toll,S,P7X1,NBIOM,DBSUN,520,00-01-1900 10:10,146,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
10377,Tumkur Road (P7) Toll,S,P7X7,XCAQO,NRMJK,50,00-01-1900 16:47,1022,VC20,F,"13.042389,77.475278",State,Bengaluru,Karnataka
10389,Tumkur Road (P7) Toll,S,P7X1,TTDZY,WWYZS,850,00-01-1900 06:25,122158,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
10396,Tumkur Road (P7) Toll,S,P7X2,SAETR,GWAHY,225,00-01-1900 19:54,117,VC4,T,"13.042389,77.475278",State,Bengaluru,Karnataka
10403,Tumkur Road (P7) Toll,S,P7X4,PLBQD,MKLAV,145,00-01-1900 22:24,94,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
10469,Tumkur Road (P7) Toll,S,P7X3,HJLHV,KHWDW,115,00-01-1900 07:46,136231,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
10675,Tumkur Road (P7) Toll,S,P7X3,UWESH,AMLRK,50,00-01-1900 08:44,140,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
10680,Tumkur Road (P7) Toll,S,P7X1,AWYXM,TNPKD,180,00-01-1900 16:23,2061,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
10723,Tumkur Road (P7) Toll,S,P7X2,GKMXU,LHAKX,125,00-01-1900 17:01,459,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
10850,Tumkur Road (P7) Toll,S,P7X3,CCLUD,IWTOZ,285,00-01-1900 00:06,95,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
10879,Tumkur Road (P7) Toll,S,P7X2,VFFCN,XYSTX,50,00-01-1900 10:52,237,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
10880,Tumkur Road (P7) Toll,S,P7X2,UUQBK,CWROY,125,00-01-1900 16:48,1020,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
10899,Tumkur Road (P7) Toll,S,P7X3,KUQNJ,NYYOG,50,00-01-1900 07:03,135910,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
10921,Tumkur Road (P7) Toll,S,P7X2,OAMLH,KMMMF,1100,00-01-1900 06:56,86,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
10930,Tumkur Road (P7) Toll,S,P7X7,YMSHT,ANXLR,1100,00-01-1900 15:32,5352,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
10957,Tumkur Road (P7) Toll,S,P7X2,ERQXF,EGLDD,285,00-01-1900 21:13,201,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
10960,Tumkur Road (P7) Toll,S,P7X1,QUQPA,DBUZY,305,00-01-1900 10:51,191,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
11004,Tumkur Road (P7) Toll,S,P7X3,FUCBZ,MWYHV,285,00-01-1900 19:08,188,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11035,Tumkur Road (P7) Toll,S,P7X2,GLNOM,GAYJW,50,00-01-1900 16:13,2546,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11076,Tumkur Road (P7) Toll,S,P7X3,MSORB,IPSBY,225,00-01-1900 18:08,169,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
11145,Tumkur Road (P7) Toll,S,P7X4,ISXNA,ORKCX,305,00-01-1900 19:59,170,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
11209,Tumkur Road (P7) Toll,S,P7X4,WJHNN,KJTFW,285,00-01-1900 18:05,189,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11223,Tumkur Road (P7) Toll,S,P7X4,UMDYS,EJTZJ,115,00-01-1900 15:41,116979,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11358,Tumkur Road (P7) Toll,S,P7X3,LPHWZ,BQZUQ,50,00-01-1900 17:18,112727,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11382,Tumkur Road (P7) Toll,S,P7X4,KCJLK,LVLON,50,00-01-1900 07:31,150617,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11395,Tumkur Road (P7) Toll,S,P7X3,RFTRR,IMJLE,115,00-01-1900 15:22,6212,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11415,Tumkur Road (P7) Toll,S,P7X3,LLECR,RANVY,125,00-01-1900 14:54,7664,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
11426,Tumkur Road (P7) Toll,S,P7X4,JYYUH,ZDGLC,50,00-01-1900 20:36,107,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
11549,Tumkur Road (P7) Toll,S,P7X1,AKUEU,SGEDH,230,00-01-1900 09:32,193,VC9,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11571,Tumkur Road (P7) Toll,S,P7X2,FBVJC,HGPLQ,115,00-01-1900 16:17,2290,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11609,Tumkur Road (P7) Toll,S,P7X1,RLLQO,ZIRDE,50,00-01-1900 06:27,156772,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11720,Tumkur Road (P7) Toll,S,P7X1,XIZNN,PMUUA,520,00-01-1900 05:42,64,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
11746,Tumkur Road (P7) Toll,S,P7X1,WJOYU,ZUIXT,50,00-01-1900 15:47,89651,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
11851,Tumkur Road (P7) Toll,S,P7X4,XSTTB,LIEGG,225,00-01-1900 19:17,202,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
11914,Tumkur Road (P7) Toll,S,P7X3,LXOWH,HLWAU,520,00-01-1900 22:10,157,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
11979,Tumkur Road (P7) Toll,S,P7X2,RJKHY,FWUZU,550,00-01-1900 14:29,9602,VC11,T,"13.042389,77.475278",State,Bengaluru,Karnataka
12066,Tumkur Road (P7) Toll,S,P7X1,TAIDF,CNGZC,520,00-01-1900 19:40,100,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
12115,Tumkur Road (P7) Toll,S,P7X7,VRNTZ,LVUOE,115,00-01-1900 17:01,497,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
12179,Tumkur Road (P7) Toll,S,P7X2,APFHO,IPDYX,145,00-01-1900 14:19,10642,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
12237,Tumkur Road (P7) Toll,S,P7X4,DNQXK,RTJRG,225,00-01-1900 11:09,89012,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
12307,Tumkur Road (P7) Toll,S,P7X1,QXMYN,FJNRZ,240,00-01-1900 14:25,10265,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
12318,Tumkur Road (P7) Toll,S,P7X3,GUJMH,SYMSP,50,00-01-1900 10:25,71701,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
12354,Tumkur Road (P7) Toll,S,P7X3,CEMZH,QSAUW,50,00-01-1900 08:07,302,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
12360,Tumkur Road (P7) Toll,S,P7X3,TVPVP,IUSJF,550,00-01-1900 21:17,127,VC11,T,"13.042389,77.475278",State,Bengaluru,Karnataka
12385,Tumkur Road (P7) Toll,S,P7X2,YTUIM,PZLMK,217,00-01-1900 14:22,10293,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
12390,Tumkur Road (P7) Toll,S,P7X3,YZNCJ,ECOHA,50,00-01-1900 09:06,139,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
